symbol,datetime,close,high,low,open,volume,change_in_price,down_days,up_days,RSI,low_14,high_14,k_percent,r_percent,MACD,MACD_EMA,Price_Rate_Of_Change,On Balance Volume,Prediction
BSESN,8/1/2003,3815.310059,3831.459961,3779.72998,3800.72998,26000,22.699952,0,22.699952,75.90951227,3534.060059,3835.75,93.22485167,-6.77514833,20.98607654,8.394436387,0.068840025,143800,1
BSESN,8/4/2003,3832.5,3840.719971,3785.850098,3798.810059,19800,17.189941,0,17.189941,78.09818786,3534.060059,3840.719971,97.31951563,-2.680484367,24.85861934,11.7826425,0.078323001,163600,1
BSESN,8/5/2003,3765.820068,3878.719971,3761.840088,3845.929932,26000,-66.679932,66.679932,0,55.52129921,3534.060059,3878.719971,67.24309992,-32.75690008,23.37702193,14.15493773,0.052525422,137600,-1
BSESN,8/6/2003,3741.659912,3798.870117,3722.080078,3754.649902,29000,-24.160156,24.160156,0,49.53463876,3534.060059,3878.719971,60.2332461,-39.7667539,20.43208192,15.43339725,0.020062279,108600,-1
BSESN,8/7/2003,3806.830078,3816.159912,3733.629883,3749.179932,24200,65.170166,0,65.170166,62.2152144,3534.060059,3878.719971,79.14178862,-20.85821138,22.10093651,16.78640398,0.021567417,132800,1
BSESN,8/8/2003,3883.76001,3890.780029,3823.389893,3824.26001,29200,76.929932,0,76.929932,71.8496092,3534.060059,3890.780029,98.03206448,-1.967935521,28.1351317,19.08262313,0.038505145,162000,1
BSESN,8/11/2003,3893.409912,3915.899902,3842.139893,3842.139893,21800,9.649902,0,9.649902,72.85151866,3551.97998,3915.899902,93.82007177,-6.179928232,33.09853425,21.91190083,0.034260069,183800,1
BSESN,8/12/2003,3889.409912,3938.909912,3879.350098,3907.030029,27400,-4,4,0,71.63214447,3572.639893,3938.909912,86.48538034,-13.51461966,36.27856708,24.80659314,0.028830128,156400,-1
BSESN,8/13/2003,3926.070068,3935.800049,3874.340088,3910.459961,25200,36.660156,0,36.660156,75.89822993,3661.689941,3938.909912,95.36835533,-4.631644666,40.80536141,28.02534697,0.035189476,181600,1
BSESN,8/14/2003,3921.199951,3959.100098,3908.699951,3932.590088,22600,-4.870117,4.870117,0,74.18809547,3694.939941,3959.100098,85.65258765,-14.34741235,43.5047824,31.13592333,0.027753941,159000,-1
BSESN,8/18/2003,3977.72998,3985.459961,3928.169922,3932.370117,19400,56.530029,0,56.530029,80.17179453,3694.939941,3985.459961,97.33926048,-2.660739525,49.02156223,34.72661637,0.03789432,178400,1
BSESN,8/19/2003,4006.909912,4026.27002,3981.919922,3985.77002,24400,29.179932,0,29.179932,82.57735732,3722.080078,4026.27002,93.63552001,-6.364479993,54.79051521,38.75156078,0.064020543,202800,1
BSESN,8/20/2003,4056.600098,4066.030029,4027.600098,4027.600098,21200,49.690186,0,49.690186,85.93108718,3722.080078,4066.030029,97.2583421,-2.741657899,62.16725002,43.44604921,0.084171248,224000,1
