symbol,datetime,close,high,low,open,volume,change_in_price,down_days,up_days,RSI,low_14,high_14,k_percent,r_percent,MACD,MACD_EMA,Price_Rate_Of_Change,On Balance Volume,Prediction,sentiment
BSESN,8/1/2003,3815.3100590000004,3831.459961,3779.7299799999996,3800.7299799999996,26000,22.699952,0.0,22.699952,75.90951227,3534.0600590000004,3835.75,93.22485167,-6.77514833,20.98607654,8.394436387,0.068840025,143800,1,-0.3802
BSESN,8/4/2003,3832.5,3840.719971,3785.850098,3798.8100590000004,19800,17.189941,0.0,17.189941,78.09818786,3534.0600590000004,3840.719971,97.31951563,-2.680484367,24.85861934,11.7826425,0.078323001,163600,1,0.0
BSESN,8/5/2003,3765.820068,3878.719971,3761.8400880000004,3845.929932,26000,-66.679932,66.679932,0.0,55.52129921,3534.0600590000004,3878.719971,67.24309992,-32.75690008,23.37702193,14.15493773,0.052525422,137600,-1,0.0
BSESN,8/6/2003,3741.6599119999996,3798.8701170000004,3722.080078,3754.649902,29000,-24.160156,24.160156,0.0,49.53463876,3534.0600590000004,3878.719971,60.2332461,-39.7667539,20.43208192,15.43339725,0.020062279,108600,-1,-0.4767
BSESN,8/7/2003,3806.830078,3816.1599119999996,3733.6298829999996,3749.179932,24200,65.17016600000001,0.0,65.17016600000001,62.215214399999994,3534.0600590000004,3878.719971,79.14178862,-20.85821138,22.10093651,16.78640398,0.021567417000000002,132800,1,0.0
BSESN,8/8/2003,3883.76001,3890.780029,3823.389893,3824.26001,29200,76.929932,0.0,76.929932,71.8496092,3534.0600590000004,3890.780029,98.03206448,-1.967935521,28.1351317,19.08262313,0.038505145,162000,1,0.0
BSESN,8/11/2003,3893.4099119999996,3915.899902,3842.139893,3842.139893,21800,9.649902,0.0,9.649902,72.85151866,3551.9799799999996,3915.899902,93.82007177,-6.179928232000001,33.09853425,21.91190083,0.034260069,183800,1,0.0
BSESN,8/12/2003,3889.4099119999996,3938.9099119999996,3879.350098,3907.030029,27400,-4.0,4.0,0.0,71.63214447,3572.639893,3938.9099119999996,86.48538034,-13.51461966,36.27856708,24.80659314,0.028830127999999997,156400,-1,0.0
BSESN,8/13/2003,3926.070068,3935.8000490000004,3874.3400880000004,3910.459961,25200,36.660156,0.0,36.660156,75.89822993,3661.6899409999996,3938.9099119999996,95.36835533,-4.631644666000001,40.80536141,28.02534697,0.035189476000000004,181600,1,0.0
BSESN,8/14/2003,3921.1999509999996,3959.100098,3908.6999509999996,3932.5900880000004,22600,-4.870117,4.870117,0.0,74.18809547,3694.9399409999996,3959.100098,85.65258765,-14.34741235,43.504782399999996,31.13592333,0.027753941,159000,-1,-0.3182
BSESN,8/18/2003,3977.7299799999996,3985.459961,3928.169922,3932.3701170000004,19400,56.530029000000006,0.0,56.530029000000006,80.17179453,3694.9399409999996,3985.459961,97.33926048,-2.660739525,49.02156223,34.72661637,0.03789432,178400,1,0.6249
BSESN,8/19/2003,4006.9099119999996,4026.2700200000004,3981.919922,3985.7700200000004,24400,29.179932,0.0,29.179932,82.57735732,3722.080078,4026.2700200000004,93.63552001,-6.364479993,54.79051521,38.75156078,0.064020543,202800,1,0.0
BSESN,8/20/2003,4056.600098,4066.030029,4027.600098,4027.600098,21200,49.690186,0.0,49.690186,85.93108718,3722.080078,4066.030029,97.2583421,-2.741657899,62.16725002,43.44604921,0.084171248,224000,1,0.0
BSESN,8/21/2003,4095.389893,4106.709961,4073.0600590000004,4075.169922,27000,38.789795,0.0,38.789795,88.00996624,3722.080078,4106.709961,97.05689326,-2.943106737,69.96817782,48.76075507,0.07580055,251000,1,0.0
BSESN,8/22/2003,4125.120117,4149.540039,4084.1899409999996,4146.560059,28000,29.730224,0.0,29.730224,89.39569858,3722.080078,4149.540039,94.28720249,-5.7127975079999995,77.38418347,54.494313,0.062145989000000006,279000,1,0.0
BSESN,8/25/2003,4004.6298829999996,4170.580078,3943.6599119999996,4149.819824,34200,-120.49023400000002,120.49023400000002,0.0,58.03196312,3722.080078,4170.580078,62.99884169,-37.00115831,73.52421976,58.30501177,0.028566211,244800,-1,0.0
BSESN,8/26/2003,4152.290039,4160.02002,4021.9099119999996,4021.9099119999996,28800,147.660156,0.0,147.660156,71.94840267,3722.080078,4170.580078,95.9219534,-4.0780466,80.45707213,62.73981586,0.067588692,273600,1,0.0
BSESN,8/27/2003,4205.560059,4222.390136999999,4173.359863000001,4173.359863000001,25600,53.270019999999995,0.0,53.270019999999995,75.3507637,3733.6298829999996,4222.390136999999,96.55657802,-3.443421977,88.86450125,67.96889584,0.071188233,299200,1,0.0
BSESN,8/28/2003,4212.290039,4256.069824,4179.330078,4256.069824,28600,6.72998,0.0,6.72998,75.77900989,3823.389893,4256.069824,89.88171582,-10.11828418,94.90765479999999,73.36006469,0.074234951,327800,1,0.0
BSESN,8/29/2003,4244.72998,4277.640136999999,4228.850098,4235.259765999999,35200,32.439941,0.0,32.439941,77.9132176,3842.139893,4277.640136999999,92.44313695,-7.556863045,100.9529747,78.88144638,0.067123712,363000,1,0.0
BSESN,9/1/2003,4324.759765999999,4329.569824,4248.069824,4248.069824,24800,80.029786,0.0,80.029786,82.34217503,3874.3400880000004,4329.569824,98.94337790000002,-1.0566221009999999,110.50696770000002,85.20911745,0.079325431,387800,1,-0.7184
BSESN,9/2/2003,4339.200195,4358.299805,4291.959961,4341.72998,31200,14.440429,0.0,14.440429,83.04982671,3874.3400880000004,4358.299805,96.05347112,-3.94652888,117.79384479999999,91.72817847,0.069664273,419000,1,0.0
BSESN,9/3/2003,4257.939941,4367.870117,4248.859863000001,4361.870117,28800,-81.260254,81.260254,0.0,65.90144133,3908.6999509999996,4367.870117,76.0589463,-23.941053699999998,116.0021067,96.58422483,0.039690982,390200,-1,0.0
BSESN,9/4/2003,4310.509765999999,4328.370117,4257.410156,4276.399902,33000,52.569825,0.0,52.569825,70.45521644,3928.169922,4367.870117,86.95466783,-13.04533217,117.25351809999998,100.7189422,0.044941637,423200,1,0.0
BSESN,9/5/2003,4369.169922,4371.97998,4314.680176,4314.680176,30800,58.66015600000001,0.0,58.66015600000001,74.78996232,3943.6599119999996,4371.97998,99.34393501,-0.656064987,121.35158259999999,104.8461561,0.09102964599999999,454000,1,-0.29600000000000004
BSESN,9/8/2003,4434.25,4444.620117,4399.609863000001,4399.609863000001,25200,65.080078,0.0,65.080078,78.77616554,3943.6599119999996,4444.620117,97.92995194,-2.070048059,128.13771979999999,109.50508810000001,0.067904688,479200,1,-0.29600000000000004
BSESN,9/9/2003,4425.200195,4473.569824,4398.089844,4458.640136999999,30400,-9.049805000000001,9.049805000000001,0.0,76.8270431,3943.6599119999996,4473.569824,90.87210337,-9.12789663,131.2863053,113.86179479999998,0.052226132,448800,-1,-0.1027
BSESN,9/10/2003,4434.259765999999,4438.22998,4378.649902,4410.120117,26600,9.059571,0.0,9.059571,77.47092175,3943.6599119999996,4473.569824,92.58174699,-7.418253011,132.9422936,117.6782192,0.052695737,475400,1,0.0
BSESN,9/11/2003,4393.129883,4463.379883,4381.089844,4423.709961,25800,-41.129883,41.129883,0.0,67.62754825,3943.6599119999996,4473.569824,84.8200724,-15.1799276,129.5449846,120.05173390000002,0.034960976,449600,-1,0.128
BSESN,9/12/2003,4305.910156,4437.0,4297.709961,4407.720215,26600,-87.219727,87.219727,0.0,51.58893094,4021.9099119999996,4473.569824,62.87922316,-37.12077684,118.6608777,119.7735475,-0.0043585329999999995,423000,-1,0.0
BSESN,9/15/2003,4193.830078,4310.169922,4184.109863000001,4310.169922,33800,-112.080078,112.080078,0.0,38.16750494,4173.359863000001,4473.569824,6.818632843,-93.18136716,100.0977055,115.8382077,-0.033501592999999996,389200,-1,0.0
BSESN,9/16/2003,4274.75,4290.069824,4134.689941,4195.100098,40400,80.919922,0.0,80.919922,49.18137567,4134.689941,4473.569824,41.33029608,-58.66970392,90.69722449,110.8098358,0.003947932,429600,1,0.0
BSESN,9/17/2003,4235.350098,4330.850098,4222.600098,4299.370117,32200,-39.399902000000004,39.399902000000004,0.0,44.70743192,4134.689941,4473.569824,29.70378652,-70.29621348,79.23286452,104.4942655,-0.017436376,397400,-1,0.0
BSESN,9/18/2003,4134.149902,4251.540039,4126.220215,4243.009765999999,33600,-101.20019599999999,101.20019599999999,0.0,35.21372303,4126.220215,4473.569824,2.282912315,-97.71708768,61.46122266,95.887465,-0.053790542000000004,363800,-1,0.4168
BSESN,9/19/2003,4217.120117,4224.72998,4097.549805,4159.720215,35400,82.970215,0.0,82.970215,46.05117001,4097.549805,4473.569824,31.79892185,-68.20107815,53.31722794,87.37326569,-0.048966540999999995,399200,1,-0.128
BSESN,9/22/2003,4151.720215,4237.419922,4141.799805,4230.910156,24600,-65.399902,65.399902,0.0,39.9700759,4097.549805,4473.569824,14.40625692,-85.59374308,41.21524678,78.14153015,-0.061800589,374600,-1,0.0
BSESN,9/23/2003,4231.689941,4240.02002,4111.540039,4138.009765999999,25200,79.969726,0.0,79.969726,49.39780013,4097.549805,4473.569824,35.67366875,-64.32633125,37.52790901,70.01871317,-0.045682895,399800,1,-0.7506
BSESN,9/24/2003,4356.390136999999,4366.830078,4229.870117,4249.930176,30400,124.70019599999999,0.0,124.70019599999999,60.54629631,4097.549805,4473.569824,68.83684882,-31.16315118,43.98975658,64.8128743,-0.008362999999999999,430200,1,-0.0258
BSESN,9/25/2003,4297.149902,4360.720215,4285.009765999999,4347.22998,31000,-59.240235,59.240235,0.0,54.02224909,4097.549805,4473.569824,53.08230597,-46.91769403,43.89715683,60.62970024,-0.0020344720000000003,399200,-1,0.0
BSESN,9/26/2003,4382.569824,4388.830078,4299.660156,4299.660156,24800,85.419922,0.0,85.419922,61.01185092,4097.549805,4473.569824,75.79916084,-24.20083916,50.03817183,58.51138217,0.045004147,424000,1,0.128
BSESN,9/29/2003,4402.049805,4426.299805,4385.540039,4392.870117,31600,19.479981,0.0,19.479981,62.51146812,4097.549805,4463.379883,83.23536481,-16.76463519,55.81006441,57.971116099999996,0.029779474,455600,1,0.0
BSESN,9/30/2003,4453.240234000001,4456.410156,4413.720215,4428.160156,30400,51.190428999999995,0.0,51.190428999999995,66.42696227,4097.549805,4463.379883,97.2283173,-2.771682705,63.72667158,59.12223149999999,0.051445602,486000,1,-0.2732
BSESN,10/1/2003,4455.080078,4487.049805,4432.930176,4452.069824,26400,1.8398439999999998,0.0,1.8398439999999998,66.57175337,4097.549805,4487.049805,91.79211117,-8.207888832,69.34557009999999,61.16690534,0.077629061,512400,1,0.0772
BSESN,10/3/2003,4552.919922,4556.890136999999,4465.439941,4465.439941,33000,97.839844,0.0,97.839844,73.56671122,4097.549805,4556.890136999999,99.13567028,-0.8643297190000001,80.67689140000002,65.06891189,0.07962775400000001,545400,1,0.1531
BSESN,10/6/2003,4631.390136999999,4637.27002,4552.390136999999,4567.680176,26400,78.470215,0.0,78.470215,77.85500135,4097.549805,4637.27002,98.91056832,-1.089431679,94.83027177,71.02119527,0.115535223,571800,1,0.5574
BSESN,10/7/2003,4632.939941,4688.330078,4601.160156,4644.859863000001,33400,1.5498040000000002,0.0,1.5498040000000002,77.93657048,4097.549805,4688.330078,90.6242406,-9.375759404,104.95785719999999,77.80853805,0.09482027400000001,605200,1,0.6369
BSESN,10/8/2003,4634.859863000001,4667.490234000001,4586.959961,4646.629883,28800,1.9199220000000001,0.0,1.9199220000000001,78.05212776,4097.549805,4688.330078,90.94922132,-9.050778681,111.8457366,84.61598609999999,0.063922128,634000,1,-0.29600000000000004
BSESN,10/9/2003,4698.680176,4710.279785,4643.319824,4643.319824,25400,63.820313,0.0,63.820313,81.72358548,4097.549805,4710.279785,98.10689709999998,-1.893102897,121.01643999999999,91.89608403,0.09344106699999999,659400,1,0.0
BSESN,10/10/2003,4768.899902,4780.77002,4730.310059,4735.089844,33200,70.219726,0.0,70.219726,84.92505853,4111.540039,4780.77002,98.22630212,-1.7736978819999998,132.38077520000002,99.99302862,0.088151494,692600,1,0.2023
BSESN,10/13/2003,4849.27002,4859.930176,4786.689941,4787.75,29600,80.370118,0.0,80.370118,87.75724261,4111.540039,4859.930176,98.57558839,-1.42441161,146.1414137,109.22271140000001,0.101593629,722200,1,0.0
