symbol,datetime,close,high,low,open,volume,change_in_price
BSESN,2003-07-14,3720.75,3726.5600590000004,3704.6298829999996,3704.6298829999996,21200.0,
BSESN,2003-07-15,3686.3400880000004,3733.8798829999996,3657.179932,3719.169922,22800.0,-34.40991199999962
BSESN,2003-07-16,3721.649902,3729.0200200000004,3662.6999509999996,3702.139893,18400.0,35.30981399999973
BSESN,2003-07-17,3668.9099119999996,3750.0,3660.3400880000004,3728.8400880000004,22000.0,-52.73999000000049
BSESN,2003-07-18,3647.580078,3684.2299799999996,3625.7299799999996,3651.389893,22000.0,-21.329833999999664
BSESN,2003-07-21,3569.580078,3664.639893,3564.4099119999996,3655.26001,19400.0,-78.0
BSESN,2003-07-22,3554.1298829999996,3582.080078,3534.0600590000004,3557.1298829999996,22400.0,-15.450195000000349
BSESN,2003-07-23,3577.889893,3596.5900880000004,3551.9799799999996,3571.75,31800.0,23.76001000000042
BSESN,2003-07-24,3668.070068,3677.23999,3572.639893,3595.600098,44400.0,90.18017499999996
BSESN,2003-07-25,3726.459961,3737.76001,3661.6899409999996,3685.3100590000004,25800.0,58.38989300000003
BSESN,2003-07-28,3739.76001,3775.649902,3730.070068,3745.98999,24600.0,13.300048999999944
BSESN,2003-07-29,3764.4399409999996,3771.350098,3694.9399409999996,3731.850098,21800.0,24.67993099999967
BSESN,2003-07-30,3780.419922,3799.889893,3759.9799799999996,3761.76001,22600.0,15.979981000000407
BSESN,2003-07-31,3792.610107,3835.75,3785.1201170000004,3796.530029,37000.0,12.190184999999929
BSESN,2003-08-01,3815.3100590000004,3831.459961,3779.7299799999996,3800.7299799999996,26000.0,22.699952000000394
BSESN,2003-08-04,3832.5,3840.719971,3785.850098,3798.8100590000004,19800.0,17.189940999999635
BSESN,2003-08-05,3765.820068,3878.719971,3761.8400880000004,3845.929932,26000.0,-66.67993200000001
BSESN,2003-08-06,3741.6599119999996,3798.8701170000004,3722.080078,3754.649902,29000.0,-24.16015600000037
BSESN,2003-08-07,3806.830078,3816.1599119999996,3733.6298829999996,3749.179932,24200.0,65.17016600000034
BSESN,2003-08-08,3883.76001,3890.780029,3823.389893,3824.26001,29200.0,76.92993200000001
BSESN,2003-08-11,3893.4099119999996,3915.899902,3842.139893,3842.139893,21800.0,9.649901999999656
BSESN,2003-08-12,3889.4099119999996,3938.9099119999996,3879.350098,3907.030029,27400.0,-4.0
BSESN,2003-08-13,3926.070068,3935.8000490000004,3874.3400880000004,3910.459961,25200.0,36.66015600000037
BSESN,2003-08-14,3921.1999509999996,3959.100098,3908.6999509999996,3932.5900880000004,22600.0,-4.870117000000391
BSESN,2003-08-18,3977.7299799999996,3985.459961,3928.169922,3932.3701170000004,19400.0,56.53002900000001
BSESN,2003-08-19,4006.9099119999996,4026.2700200000004,3981.919922,3985.7700200000004,24400.0,29.179932000000008
BSESN,2003-08-20,4056.600098,4066.030029,4027.600098,4027.600098,21200.0,49.69018600000027
BSESN,2003-08-21,4095.389893,4106.709961,4073.0600590000004,4075.169922,27000.0,38.78979500000014
BSESN,2003-08-22,4125.120117,4149.540039,4084.1899409999996,4146.560059,28000.0,29.730224000000362
BSESN,2003-08-25,4004.6298829999996,4170.580078,3943.6599119999996,4149.819824,34200.0,-120.49023400000078
BSESN,2003-08-26,4152.290039,4160.02002,4021.9099119999996,4021.9099119999996,28800.0,147.66015600000082
BSESN,2003-08-27,4205.560059,4222.390136999999,4173.359863000001,4173.359863000001,25600.0,53.27001999999993
BSESN,2003-08-28,4212.290039,4256.069824,4179.330078,4256.069824,28600.0,6.729980000000069
BSESN,2003-08-29,4244.72998,4277.640136999999,4228.850098,4235.259765999999,35200.0,32.439940999999635
